	hyperpartisan	title_tokens	n_sent_body	body_tokens	n_tokens_title	n_tokens_body
351	0	['donald', 'trump', 'hits', 'justice', 'department', 'huma', 'abedin', 'fbi', 'email', 'developments']	24	[['following', 'latest', 'fbi', 'developments', 'hillary', 'clinton', 'email', 'probe', 'donald', 'trump', 'ripped', 'justice', 'department', 'clinton', 'aide', 'huma', 'abedin', 'saturday', 'firing', 'tirade', 'triumphant', 'swing', 'western', 'states'], ['reported', 'today', 'morning', 'department', 'justice', 'fighting', 'fbi', 'trump', 'said', 'golden', 'colorado'], ['department', 'justice', 'trying', 'hard', 'protect', 'hillary'], ['trump', 'referencing', 'reports', 'attorney', 'general', 'loretta', 'lynch', 'recommended', 'happen', 'think', 'hillary', 'offered', 'loretta', 'lynch', 'reappointment', 'attorney', 'general'], ['happen', 'trump', 'said'], ['offering', 'proof', 'republican', 'nominee', 'posited', 'clinton', 'husband', 'president', 'clinton', 'bribed', 'lynch', 'position', 'impromptu', 'meeting', 'earlier', 'summer', 'plane', 'arizona'], ['met', 'days', 'fbi', 'completed', 'probe', 'private', 'email', 'server'], ['course', 'said', 'talked', 'golf', 'grandchildren', 'plane', '<num>', 'minutes', 'went', 'arizona', 'unbelievable', 'place', 'think', 'went', 'plane', 'discussed', 'prior', 'decision', 'trump', 'said'], ['new', 'york', 'real', 'estate', 'mogul', 'trained', 'biting', 'attacks', 'abedin', 'husband', 'democratic', 'congressman', 'anthony', 'weiner'], ['emails', 'tied', 'clinton', 'probe', 'separated', 'couple', 'electronic', 'devices', 'correctly', 'anybody'], ['trump', 'asked', 'pointing', 'prior', 'criticisms', 'weiner'], ['called', 'good', 'judgement', 'called', 'good', 'instincts'], ['check', 'tweets', 'check', 'wrote', 'perfect', 'said'], ['long', 'time', 'ago', 'looking', 'anthony', 'weiner', 'major', 'major', 'major', 'sleaze', '<num>', 'missing', 'deleted', 'emails'], ['trump', 'past', 'wondered', 'abedin', 'national', 'security', 'concern', 'relationship', 'weiner'], ['abedin', 'receiving', 'important', 'information', 'giving', 'hillary'], ['giving'], ['trump', 'said', 'august', 'trump', 'speculation', 'newly', 'surfaced', 'emails', 'contained', 'remains', 'unfounded'], ['fbi', 'release', 'details', 'information', 'emails'], ['clinton', 'campaign', 'meantime', 'defended', 'abedin', 'campaign', 'chair', 'john', 'podesta', 'telling', 'reporters', 'conference', 'staff', 'stands'], ['evidence', 'wrongdoing', 'charge', 'wrongdoing', 'indication', 'hillary', 'podesta', 'said', 'saturday'], ['added', 'comey', 'letter', 'republicans', 'house', 'senate', 'long', 'innuendo', 'short', 'facts'], ['podesta', 'added', 'comey', 'knew', 'republicans', 'congress', 'blasted', 'house', 'oversight', 'committee', 'chair', 'jason', 'chaffetz', 'r-utah', 'particular', 'taking', 'opportunity', 'distort', 'facts'], ['cbs', 'news', 'hannah', 'fraser-chanpong', 'contributed', 'report']]	10	24
161	1	['david', 'brooks', 'abbie', 'hoffman', 'right', 'donald', 'trump']	57	"[['admitted', 'donald', 'trump', 'exactly', 'elected'], ['elected', 'legislative', 'president'], ['showed', 'real', 'policy', 'campaign'], ['elected', 'cultural', 'president'], ['elected', 'shred', 'dominant', 'american', 'culture', 'voice', 'felt', 'voiceless', 'culture'], ['day'], ['troubling', 'targets', 'assaults', 'clue', 'going'], ['feel', 'righteous', 'like', 'past', 'weekend', 'actually', 'losing', 'peril'], ['let', 'try', 'explain', 'think', 'happening', 'world', 'war', 'ii', 'protestant', 'establishment', 'dominated', 'high', 'ground', 'american', 'culture', 'politics'], ['establishment', 'eventually', 'failed'], ['tolerated', 'segregation', 'sexism', 'led', 'nation', 'war', 'vietnam', 'stultifying'], ['late', '1960s', 'came', 'group', 'provocateurs', 'like', 'abbie', 'hoffman', 'jerry', 'rubin', 'rest', 'counterculture', 'upend', 'protestant', 'establishment'], ['people', 'like', 'hoffman', 'buffoons', 'masters', 'political', 'theater'], ['attracted', 'majority', 'support', 'antics'], ['provoke', 'offend', 'crew-cut', 'crowd', 'generate', 'outrage', 'set', 'cycle', 'ripped', 'apart', 'cultural', 'consensus'], ['late', '1960s', 'time', 'intense', 'cultural', 'conflict', 'left', 'lot', 'wreckage', 'wake'], ['eventually', 'new', 'establishment', 'came', 'meritocratic', 'establishment'], ['tame', 'heirs', 'hoffman', 'rubin'], ['educated'], ['cut', 'moral', 'teeth', 'civil', 'rights', 'feminist', 'movements'], ['embraced', 'economic', 'social', 'moral', 'individualism'], ['came', 'dominate', 'institutions', 'american', 'society', 'left', 'right'], ['hillary', 'clinton', 'educated', 'cohort'], ['parts', 'conservative', 'establishment'], [""'re"", 'reading', 'newspaper', 'probably', 'i.', 'establishment', 'failures'], ['created', 'economy', 'benefits', 'leaves', 'everybody'], ['led', 'america', 'war', 'iraq', 'sent', 'working', 'class', 'fight'], ['developed', 'brand', 'cultural', 'snobbery'], ['media', 'film', 'music', 'industries', 'members', 'working', 'class', 'feel', 'invisible', 'disrespected'], ['<num>', 'members', 'outraged', 'working', 'class', 'elected', 'abbie', 'hoffman', 'president'], ['trump', 'good', 'wickedly', 'good', 'sticking', 'thumb', 'eye', 'educated', 'elites'], ['build', 'new', 'culture', 'attract', 'majority'], ['tear', 'old'], ['exactly'], ['donald', 'trump', 'came', 'segmenting', 'culture', 'tearing', 'apart', 'fissure'], ['nose', 'wound', 'body', 'politic', 'day', 'day', 'sticks', 'red-hot', 'poker', 'wound', 'rips', 'open'], ['day', 'day', 'trump', 'turning', 'nation', 'different', 'planets'], ['planet', 'feels', 'righteous', 'isolated', 'offended', 'planets'], ['members', 'educated', 'class', 'saw', 'past', 'weekend', 'nfl', 'fracas', 'fight', 'racism'], ['felt', 'mobilized', 'unified', 'fight', 'righteous', 'energy'], ['members', 'working', 'class', 'saw', 'fracas', 'fight', 'american', 'identity'], ['saw', 'pittsburgh', 'steelers', 'coach', 'mike', 'tomlin', 'try', 'dissuade', 'alejandro', 'villanueva', 'three-time', 'combat', 'veteran', 'celebrating', 'flag', 'risked', 'life'], ['members', 'class', 'felt', 'mobilized', 'unified', 'righteous', 'energy'], ['know', 'planet', 'bigger', 'win', 'election', 'frankly', 'matter'], ['matters', 'trump', 'shredding', 'culture', 'ending', 'dominance', 'meritocratic', 'establishment'], ['continually', 'goes', 'racial', 'matters', 'bigot', 'multiculturalism', 'theology', 'educated', 'class', 'leverage', 'point', 'effectively', 'use', 'isolate', 'educated', 'class'], ['destructive', 'enemies', 'help'], ['ramps', 'aggression'], ['enemies', 'ramp', 'preserve', 'dignity'], ['ensuing', 'cultural', 'violence', 'serves', 'trump', 'long-term', 'destructive', 'purpose'], ['america', 'seeing', 'nearly', 'cultural', 'conflict', 'late', '1960s'], ['possible', 'years', 'trump', 'effectively', 'destroyed', 'prevailing', 'culture'], ['reign', 'meritocratic', 'establishment', 'reign', 'protestant', 'establishment'], ['course', 'donald', 'trump', 'buffoon'], ['buffoonery', 'effective', 'weapon'], ['new', 'culture', 'built', 'new', 'values', 'promulgated', 'new', 'social', 'fabric', 'woven', 'brings', 'different', 'planets', 'relation'], ['work', '<num>', 'years']]"	7	57
489	0	['report', 'bernie', 'jane', 'sanders', 'hire', 'lawyers', 'amid', 'fbi', 'probe']	2	[['sen.', 'bernie', 'sanders', 'i-vt.', 'wife', 'jane', 'sanders', 'hired', 'prominent', 'defense', 'attorneys', 'amid', 'fbi', 'investigation', 'concerning', 'possible', 'bank', 'fraud', 'according', 'cbs', 'news', 'politico', 'magazine', 'investigation', 'centers', 'loan', 'jane', 'sanders', 'secured', 'expand', 'burlington', 'college', 'president'], ['jane', 'sanders', 'allegedly', 'distorted', 'school', 'donor', 'levels', '<num>', 'loan', 'application', '<num>', 'million', 'people', 'united', 'bank', 'buy', '<num>', 'acres', 'land', 'school', 'shut', '<num>', 'bernie', 'sanders', 'told', 'washington', 'post', 'rich', 'cassidy', 'reportedly', 'hired', 'represent', 'bernie', 'sanders', 'high-profile', 'washington', 'defense', 'attorney', 'larry', 'robbins', 'reportedly', 'representing', 'jane', 'sanders']]	9	2
534	0	['sons', 'american', 'legion', 'present', 'new', 'american', 'flag', 'globe', 'library']	3	[['photo', 'maryhelen', 'avalos', 'sons', 'american', 'legion', 'recently', 'retired', 'torn', 'tattered', 'american', 'flag', 'presenting', 'new', 'adrea', 'ricke', 'globe', 'public', 'library', 'manager'], ['left', 'right', 'a.j'], ['sprague', 'sons', 'american', 'legion', 'adjutant', 'finance', 'officer', 'margaret', 'smith', 'american', 'legion', 'adjutant', 'jesse', 'horta', 'member', 'su', 'samra', 'adrea', 'ricke', 'library', 'manager', 'hector', 'samra', 'legion', 'member']]	9	3
306	1	['trump', 'calls', 'nfl', 'forcing', 'players', 'stand', 'anthem']	15	"[['updated', '10/18/17', '2:45', 'p.m.', 'et', 'nfl', 'commissioner', 'roger', 'goodell', 'days', 'conversation', 'fair', 'dialogue', 'think', 'way', 'goodell', 'said'], ['want', 'players', 'stand'], ['focus', 'opportunity', 'communities', 'better', 'efforts', 'players'], [""'ll"", 'deal', 'issues', 'come'], ['goodell', 'steered', 'clear', 'directly', 'addressing', 'tweet', 'donald', 'trump', 'sent', 'wednesday', 'nfl', 'decision', 'force', 'players', 'stand'], ['goodell', 'focusing', 'nfl', 'response', 'questions', 'trump', 'tweets', 'october', '<num>', '<num>', 'additionally', 'goodell', 'said', 'wants', 'league', 'stay', 'politics', 'talked', 'hopes', 'eventually', 'zero', 'players', 'kneeling', 'anthem'], ['original', 'story'], ['usual', 'donald', 'trump', 'personal', 'twitter', 'account', 'spew', 'garbage', 'takes', 'shit', 'truly', 'understand'], ['week', 'saying', 'nfl', 'decided', 'force', 'players', 'stand', 'playing', 'national', 'anthem'], ['total', 'disrespect', 'great', 'country'], ['october', '<num>', '<num>', 'nfl', 'decided', 'force', 'players', 'stand', 'playing', 'national', 'anthem', 'trump', 'tweeted'], ['total', 'disrespect', 'great', 'country'], ['doubt', 'response', 'nfl', 'saying', 'trump', 'concerned', 'players', 'protesting', 'national', 'anthem—which', 'amendment', 'fucking', 'protests', 'actually', 'trump', 'concerned', 'people', 'openly', 'resisting', 'tradition', 'bigging', 'america', 'playing', 'game', 'root', 'problem'], ['oh', 'right', 'spews', 'hatred', 'fake', 'news', 'problem', 'feeding', 'fuckery'], ['forgot']]"	7	15
215	0	"['gun', 'store', 'offers', ""'pre-hillary"", 'sale', 'warns', 'skyrocketing', 'prices']"	9	"[['vegas', 'gun', 'shop', 'posts', ""'pre-hillary"", 'sale', 'advertisement', 'pic.twitter.com/ev2tsnm1lp', 'fox', '&', 'friends', 'foxandfriends', 'october', '<num>', '<num>', 'pence', 'media', ""'piling"", 'trump', ""'unsubstantiated"", 'claims', 'giuliani', 'trump', 'claims', ""'coincidental"", ""'wikileaks"", 'info', 'relevant', 'fr'], ['morris', 'hillary', 'aides', ""'want"", 'line', 'catholic', 'church', 'dem', 'platform', 'las', 'vegas', 'gun', 'store', 'offering', 'pre-hillary', 'sale', 'saying', 'gun', 'prices', 'rise', 'hillary', 'clinton', 'administration'], ['advertisement', 'weekend', 'las', 'vegas', 'review-journal', 'westside', 'armory', 'said', 'holding', 'sale', 'tactical', 'rifles'], ['wait'], ['advertisement', 'reads'], ['prices', 'skyrocket', 'crooked', 'hillary', 'gets'], ['advertisement', 'shows', 'picture', 'smith', '&', 'wesson', '&', 'p', 'sport', 'ii', 'semiautomatic', 'tactical', 'rifle', 'store', 'selling', '<num>'], ['let', 'know', 'think', 'comments'], ['fair', 'balanced', 'miss', 'final', 'presidential', 'debate', 'look', 'car', 'split', 'completely', 'half', 'ny', 'dui', 'collision', 'pirro', 'hillary', 'picks', 'justices', ""'no"", 'damn', 'trump', 'claims', 'democrat', 'caught', 'tape', ""'might"", 'executive', 'orders', 'clinton', 'gun', 'control']]"	8	9
473	0	['trump', 'lowest', 'approval', 'rating', 'modern', 'times']	2	[['president', 'trump', 'approval', 'ratings', 'continue', 'lag', 'past', 'presidents', 'point', 'terms'], ['video', 'approval', 'rating', 'lower', 'president', 'ford']]	6	2
209	0	['election']	4	[['tucker', 'carlson', 'said', 'hillary', 'clinton', 'spun', 'yarn', 'conspiracy', 'theories', 'election', 'loss', 'speech', 'wednesday'], ['mike', 'huckabee', 'joined', 'fox', '&', 'friends', 'discuss', 'hillary', 'clinton', 'return', 'public', 'eye', 'speech', 'weekend', 'poconos'], ['retired', 'nypd', 'detective', 'private', 'investigator', 'running', 'new', 'york', 'city', 'mayor', 'blasio', 'posted', 'video', 'facebook', 'challenging', 'democrat', 'push-up', 'contest'], ['professor', 'southern', 'california', 'college', 'went', 'diatribe', 'president-elect', 'donald', 'trump', 'unnamed', 'student', 'recorded', 'facing', 'punishment']]	1	4
260	1	"['trump', 'campaign', 'mgr', 'raised', 'clinton', 'accusers', 'issue', ""'exactly"", 'right', 'way']"	15	"[['donald', 'trump', 'campaign', 'manager', 'kellyanne', 'conway', 'reacted', 'trump', 'debate', 'performance', 'fact', 'held', 'press', 'availability', 'women', 'accused', 'clintons', 'misconduct'], ['women', 'want', 'heard', 'conway', 'said', 'kathleen', 'willey', 'kathy', 'shelton', 'juanita', 'broaddrick', 'paula', 'corbin', 'jones'], [""'m"", 'proud', 'donald', 'trump', 'raising', 'exactly', 'right', 'way', 'told', 'megyn', 'kelly', 'kelly', 'file', 'hillary', 'clinton', 'treat', 'women', 'fact'], ['conway', 'referring', 'clinton', 'statement', 'alleged', 'victims', 'sexual', 'assault', 'deserve', 'heard'], ['excluding', 'contact', 'husband'], ['conway', 'asked'], ['juanita', 'broaddrick', 'pre-debate', 'press', 'availability', 'said', ""'bill"", 'clinton', 'raped', 'hillary', 'clinton', 'attacked'], ['chance', 'tell', 'story'], ['hillary', 'going', 'joan', 'arc', 'women', 'totally', 'ignored', 'women', 'tonight'], ['clinton', 'hillary', 'rodham', 'represented', 'accused', 'rapist', 'then-12-year', 'old', 'shelton', 'reportedly', 'laughed', 'case', 'suspect', 'vindicated'], ['willey', 'jones', 'accused', 'clinton', 'assault', 'insinuated', 'hillary', 'clinton', 'enabled', 'attacked'], ['trump', 'vulgar', 'recorded', 'discussion', 'billy', 'bush', 'conway', 'said', 'disgusting', 'offensive', ""'m"", 'going', 'excuse', 'said'], ['think'], ['let', 'know', 'comments'], ['overdoses', 'suspected', 'little', 'girl', 'alerts', 'bus', 'driver', 'unresponsive', 'parents']]"	10	15
385	0	['california', 'closer', 'sanctuary', 'state']	4	[['sacramento', 'calif.', 'kcra', 'california', 'step', 'closer', 'sanctuary', 'state'], ['assembly', 'judiciary', 'committee', 'approved', 'senate', '<num>', 'wednesday', 'party', 'lines', 'democrats', 'voting', 'favor', 'republicans', 'opposed'], ['proposed', 'ice', 'agents', 'prohibited', 'entering', 'county', 'jails', 'warrant'], ['story', 'video']]	4	4
